Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
ItemTag_18690_Name,aCIO,d道具标签_ItemTag_C.csv,8,ItemTag,Name,,通用货币,สกุลเงินทั่วไป
ItemTag_18669_Name,aCIu,d道具标签_ItemTag_C.csv,9,ItemTag,Name,,稀有货币,สกุลเงินหายาก
ItemTag_18672_Name,aCIx,d道具标签_ItemTag_C.csv,10,ItemTag,Name,,守密人升级,ค่าประสบการณ์ผู้รักษาความลับ
ItemTag_18683_Name,aCIH,d道具标签_ItemTag_C.csv,11,ItemTag,Name,,唤醒体升级,EXP ผู้ปลุกตื่น
ItemTag_18688_Name,aCIM,d道具标签_ItemTag_C.csv,12,ItemTag,Name,,试炼消耗,พลังงาน
ItemTag_18685_Name,aCIJ,d道具标签_ItemTag_C.csv,13,ItemTag,Name,,研究课题,หัวข้องานวิจัย
ItemTag_18664_Name,aCIp,d道具标签_ItemTag_C.csv,14,ItemTag,Name,,高级交换货币,สกุลเงินแลกเปลี่ยนระดับสูง
ItemTag_18680_Name,aCIF,d道具标签_ItemTag_C.csv,15,ItemTag,Name,,交换货币,สกุลเงินแลกเปลี่ยน
ItemTag_18661_Name,aCIm,d道具标签_ItemTag_C.csv,16,ItemTag,Name,,课题经验,ค่าประสบการณ์งานวิจัย
ItemTag_49407_Name,aCIV,d道具标签_ItemTag_C.csv,17,ItemTag,Name,,限时双倍,โบนัส x2 จำกัดเวลา
ItemTag_18673_Name,aCIy,d道具标签_ItemTag_C.csv,18,ItemTag,Name,,唤醒体,ผู้ปลุกตื่น
ItemTag_18667_Name,aCIs,d道具标签_ItemTag_C.csv,19,ItemTag,Name,,唤醒道具,ไอเทมปลุกตื่น
ItemTag_18663_Name,aCIo,d道具标签_ItemTag_C.csv,20,ItemTag,Name,,限时唤醒道具,ไอเทมปลุกตื่นแบบจำกัด
ItemTag_18689_Name,aCIN,d道具标签_ItemTag_C.csv,21,ItemTag,Name,,启灵激活,วัสดุปลดระดับวิญญาณ
ItemTag_23809_Name,aCIQ,d道具标签_ItemTag_C.csv,22,ItemTag,Name,,本源降临,จุติปฐมกำเนิด
ItemTag_18678_Name,aCID,d道具标签_ItemTag_C.csv,23,ItemTag,Name,,唤醒体养成,วัสดุพัฒนาผู้ปลุกตื่น
ItemTag_18677_Name,aCIC,d道具标签_ItemTag_C.csv,24,ItemTag,Name,,技能素材,วัสดุอัปเกรดสกิล
ItemTag_74297_Name,aCIZ,d道具标签_ItemTag_C.csv,25,ItemTag,Name,,高阶技能素材,วัสดุอัปเกรดสกิลขั้นสูง
ItemTag_18682_Name,aCIG,d道具标签_ItemTag_C.csv,26,ItemTag,Name,,升格素材,วัสดุเลื่อนขั้น
ItemTag_18675_Name,aCIA,d道具标签_ItemTag_C.csv,27,ItemTag,Name,,叠位素材,วัสดุวางซ้อน
ItemTag_18676_Name,aCIB,d道具标签_ItemTag_C.csv,28,ItemTag,Name,,探索素材,วัสดุสำรวจ
ItemTag_18691_Name,aCIP,d道具标签_ItemTag_C.csv,29,ItemTag,Name,,命轮强化素材,วัสดุเสริมสร้างกงล้อโชคชะตา
ItemTag_18660_Name,aCIl,d道具标签_ItemTag_C.csv,30,ItemTag,Name,,密契强化素材,วัสดุเสริมสร้างพันธสัญญา
ItemTag_18662_Name,aCIn,d道具标签_ItemTag_C.csv,31,ItemTag,Name,,共鸣激活材料,วัสดุกระตุ้นการสั่นพ้อง
ItemTag_18687_Name,aCIL,d道具标签_ItemTag_C.csv,32,ItemTag,Name,,特殊,ไอเทมพิเศษ
ItemTag_18665_Name,aCIq,d道具标签_ItemTag_C.csv,33,ItemTag,Name,,剧情道具,ไอเทมเนื้อเรื่อง
ItemTag_74095_Name,aCIY,d道具标签_ItemTag_C.csv,34,ItemTag,Name,,灵塑适性素材,วัสดุศักยภาพแห่งวิญญาณ
ItemTag_18666_Name,aCIr,d道具标签_ItemTag_C.csv,35,ItemTag,Name,,命轮,กงล้อโชคชะตา
ItemTag_18684_Name,aCII,d道具标签_ItemTag_C.csv,36,ItemTag,Name,,密契,พันธสัญญา
ItemTag_18686_Name,aCIK,d道具标签_ItemTag_C.csv,37,ItemTag,Name,,礼盒,ของล้ำค่า
ItemTag_18668_Name,aCIt,d道具标签_ItemTag_C.csv,38,ItemTag,Name,,掉落,รางวัลที่ได้รับ
ItemTag_18674_Name,aCIz,d道具标签_ItemTag_C.csv,39,ItemTag,Name,,消耗品,วัสดุใช้งาน
ItemTag_18679_Name,aCIE,d道具标签_ItemTag_C.csv,40,ItemTag,Name,,密契匣,กล่องพันธสัญญา
ItemTag_18670_Name,aCIv,d道具标签_ItemTag_C.csv,41,ItemTag,Name,,应急灵知体,ญาณฉุกเฉิน
ItemTag_18671_Name,aCIw,d道具标签_ItemTag_C.csv,42,ItemTag,Name,,钥令,คำสั่งกุญแจเงิน
ItemTag_54583_Name,aCIX,d道具标签_ItemTag_C.csv,43,ItemTag,Name,,头像框,กรอบรูป
ItemTag_23901_Name,aCIR,d道具标签_ItemTag_C.csv,44,ItemTag,Name,,头像,รูปโปรไฟล์
ItemTag_25225_Name,aCIS,d道具标签_ItemTag_C.csv,45,ItemTag,Name,,灵知深化素材,วัสดุเลื่อนขั้นจิตตื่นรู้
ItemTag_34758_Name,aCIT,d道具标签_ItemTag_C.csv,46,ItemTag,Name,,活动货币,สกุลเงินกิจกรรม
ItemTag_46796_Name,aCIU,d道具标签_ItemTag_C.csv,47,ItemTag,Name,,表情,สติกเกอร์
ItemTag_51887_Name,aCIW,d道具标签_ItemTag_C.csv,48,ItemTag,Name,,密契残本,เศษชิ้นส่วนพันธสัญญา
ItemTag_79687_Name,aCJa,d道具标签_ItemTag_C.csv,49,ItemTag,Name,,幻衣,สกิน
ItemTag_90034_Name,bxOc,d道具标签_ItemTag_C.csv,50,ItemTag,Name,,幻衣绘形券,คูปองสกิน
